iter	Passed	Remaining
0	0	85
1	1	77
2	2	74
3	2	71
4	3	69
5	4	67
6	4	65
7	5	64
8	6	62
9	6	61
10	7	60
11	8	59
12	9	61
13	9	60
14	10	60
15	11	59
16	11	58
17	12	57
18	13	56
19	13	55
20	14	54
21	15	53
22	15	52
23	16	51
24	16	50
25	17	50
26	18	49
27	19	48
28	19	48
29	20	47
30	21	46
31	21	46
32	22	45
33	23	45
34	24	45
35	25	44
36	26	44
37	27	44
38	28	44
39	29	43
40	30	43
41	31	42
42	32	42
43	32	41
44	33	41
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	38	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	16
76	54	16
77	54	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
